Movie_id,Title,Director,Actor1,Actor2,Actor3,Genre,Overview,Ratings,Votes,Year
15392,Crossroads,Tamra Davis,Britney Spears, Anson Mount, Zoe Saldana,Drama Music Mystery Romance,"A wanna-be blues guitar virtuoso seeks a long-lost song by legendary musician, Robert Johnson.",3.6,41666,2002
10133,Cypher,Vincenzo Natali,Jeremy Northam, Lucy Liu, Nigel Bennett,Thriller Sci-Fi,"An unsuspecting, disenchanted man finds himself working as a spy in the dangerous, high-stakes world of corporate espionage. Quickly getting way over-his-head, he teams up with a mysterious femme fatale.",6.7,31863,2002
20689,The Dancer Upstairs,John Malkovich,Javier Bardem, Juan Diego Botto, Laura Morante,Crime Drama Romance Thriller,A police detective in a South American country is dedicated to hunting down a revolutionary guerilla leader.,6.9,6818,2002
16857,The Dangerous Lives of Altar Boys,Peter Care,Emile Hirsch, Kieran Culkin, Jena Malone,Comedy Drama,"A group of Catholic school friends, after being caught drawing an obscene comic book, plan a heist that will outdo their previous prank and make them local legends.",6.9,14081,2002
11056,Darkness,Jaume Balagueró,Anna Paquin, Lena Olin, Iain Glen,Horror,"A teenage girl moves into a remote country home with her family, only to discover that the gloomy old house has a horrifying past that threatens to destroy them.",5.4,20216,2002
67232,Daughter from Danang,"Gail Dolgin, Vicente Franco",Mai Thi Kim,Heidi Neville-Bub,Gerald Ford,Documentary,"In 1975, as the Vietnam War was ending, thousands of orphans and Amerasian children were brought to the United States as part of ""Operation Babylift."" Daughter from Danang tells the dramatic story of one of these children, Heidi Bub (a.k.a. Mai Thi Hiep), and her Vietnamese mother, Mai Thi Kim, separated at the war's end and reunited 22 years later. Heidi, now living in Tennessee - a married woman with kids - had always dreamt of a joyful reunion. When she ventures to Vietnam to meet her mother, she unknowingly embarks on an emotional pilgrimage that spans decades and distance. Unlike most reunion stories that climax with a clichÃÂ© happy ending, Daughter from Danang is a real-life drama. Journeying from the Vietnam War to Pulaski, Tennessee and back to Vietnam, Daughter from Danang tensely unfolds as cultural differences and the years of separation take their toll in a riveting film about longing and the personal legacy of war.",7.5,614,2002
9275,Death to Smoochy,Danny DeVito,Robin Williams, Edward Norton, Danny DeVito,Comedy Crime Drama Thriller,"Tells the story of Rainbow Randolph, the corrupt, costumed star of a popular children's TV show, who is fired over a bribery scandal and replaced by squeaky-clean Smoochy, a puffy fuscia rhinoceros. As Smoochy catapults to fame - scoring hit ratings and the affections of a network executive - Randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as America's sweetheart.",6.3,42132,2002
11669,Demon Island,David and Scott Hillenbrand,Nicholas Brendon, Jaime Pressly, Eugene Byrd,Horror,"An epidemic of appliance madness unrelated to discount sales strikes an island off the coast of France: the islanders are being murderously attacked by ovens and refrigerators acquired in the same department store. Enter the young Dr. Gabrielle Martin (Anny Duperey), who arrives here to escape her own personal tragedy and instead lands in the middle of the kitchen mania. She tracks down the cause of the rapidly spreading epidemic to another doctor on the island Ã¢ÂÂ quite as insane as any of the kitchen appliances (if the comparison could be made) Ã¢ÂÂ and finds that the villainous doctor and the appliances have a most unusual link. Graphic scenes of mutilation by an oven, as one example, leave nothing much to the imagination in this film, but the interpretations of actors Anny Duperey and Jean-Claude Brialy as the good and evil doctors are excellent.",2.5,4502,2002
13201,Deuces Wild,Scott Kalvert,Stephen Dorff, Brad Renfro, Fairuza Balk,Action Crime Drama Romance,"1950s New York City. A bad and bloody gang war is about to erupt on the dysfunctional streets of Brooklyn. The Deuces at war with the vicious Vipers. Scott Kalvert directs this tale of lust, drugs, mayhem and madness during one hot summer on the streets of New York.",5.6,7759,2002
9583,Divine Secrets of the Ya-Ya Sisterhood,Callie Khouri,Ellen Burstyn, Sandra Bullock, James Garner,Comedy Drama,"A mother and daughter dispute is resolved by the ""Yaya sisterhood"" - long time friends of the mother.",6.1,20699,2002
10052,Dragonfly,Tom Shadyac,Kevin Costner, Joe Morton, Ron Rifkin,Thriller Fantasy,A grieving doctor is being contacted by his late wife through his patient's near death experiences.,6.1,39626,2002
13497,Drumline,Charles Stone III,Nick Cannon, Zoe Saldana, Orlando Jones,Drama Romance Comedy Music,"A talented street drummer from Harlem enrolls in a Southern university, expecting to lead its marching band's drumline to victory. He initially flounders in his new world, before realizing that it takes more than talent to reach the top.",5.9,35764,2002
275733,Easy Listening,Pamela Corkey,David Ian, Traci Crouch, Timothy Crowe,"Comedy, Drama, Music","Wanna-be hipster Burt is a trumpet player who'd rather be playing jazz instead of what he's doing now -- making what he considers watered-down, lifeless music as part of a nameless, faceless orchestra. But his tune changes when happy-go-lucky Linda, a flutist, joins the ensemble and shows him there's more to life than pining for a dream.",6.9,40,2002
13376,Eight Crazy Nights,Seth Kearsley,Adam Sandler, Allen Covert, Jack Giarraputo,Animation Comedy,"Davey Stone, a 33-year old party animal, finds himself in trouble with the law after his wild ways go too far.",5.3,24499,2002
8869,Eight Legged Freaks,Ellory Elkayem,David Arquette,Kari Samantha Wuhrer, Scarlett Johansson,Action Comedy Horror Thriller,"The residents of a rural mining town discover that an unfortunate chemical spill has caused hundreds of little spiders to mutate overnight to the size of SUVs. It's then up to mining engineer Chris McCormack and Sheriff Sam Parker to mobilize an eclectic group of townspeople, including the Sheriff's young son, Mike, her daughter, Ashley, and paranoid radio announcer Harlan, into battle against the bloodthirsty eight-legged beasts.",5.5,59562,2002
17187,The Emperor's Club,Michael Hoffman,Kevin Kline, Emile Hirsch, Embeth Davidtz,Drama,"William Hundert is a passionate and principled Classics professor who finds his tightly-controlled world shaken and inexorably altered when a new student, Sedgewick Bell, walks into his classroom. What begins as a fierce battle of wills gives way to a close student-teacher relationship, but results in a life lesson for Hundert that will still haunt him a quarter of a century later.",6.9,17710,2002
13369,Empire,Franc. Reyes,John Leguizamo, Peter Sarsgaard, Denise Richards,Crime Action Drama,A big time drug dealer Victor Rosa is looking to get out of the game and sees his chance with a big deal with a new friend who happens to be a Wall St. stockbroker. Thinking this will be his chance to go out on top Victor soon finds out that he has been double crossed and his last option is to get revenge.,5.9,7810,2002
